Product,SKU,Barcode,Brand,Variant,Category,Unit,Stock,Purchase,Selling,MRP,TaxRate,HSN,Supplier,Batch,Expiry,WarrantyMonths
Salted Potato Chips,SF-017,8901000134623,Lay's,52 g,Snacks,packet,64,14,20,20,12,2005,Gupta Wholesale,B26017,2026-12-03,
Glucose Biscuits,SF-018,8901000142542,Parle,100 g,Snacks,packet,80,8,10,10,18,1905,Gupta Wholesale,B26018,2027-02-21,
Cream Biscuits,SF-019,8901000150461,Britannia,150 g,Snacks,packet,46,22,30,30,18,1905,Gupta Wholesale,B26019,2027-02-11,
Roasted Peanuts,SF-020,8901000158380,,Loose,Snacks,kg,12,128,168,180,5,2008,Gupta Wholesale,B26020,2027-01-02,
Mixed Namkeen,SF-021,8901000166299,Haldiram,350 g,Snacks,packet,8,44,60,65,12,2106,Gupta Wholesale,B26021,2026-10-06,
Tea Leaves Gold,SF-022,8901000174218,Tata,500 g,Beverages,packet,34,210,258,275,5,0902,Shree Distributors,B26022,2027-09-09,
Instant Coffee,SF-023,8901000182137,Nescafe,100 g jar,Beverages,packet,16,175,215,230,18,2101,Shree Distributors,B26023,2027-10-29,
Mango Drink,SF-024,8901000190056,Frooti,250 ml,Beverages,piece,48,16,22,22,12,2202,Gupta Wholesale,B26024,2027-01-22,
Packaged Drinking Water,SF-025,8901000197975,Bisleri,1 L,Beverages,piece,96,12,20,20,18,2201,Gupta Wholesale,B26025,2027-03-23,
Soft Drink Bottle,SF-026,8901000205894,Coca-Cola,750 ml,Beverages,piece,60,28,40,40,28,2202,Gupta Wholesale,B26026,2027-01-12,
Toned Milk,SF-027,8901000213813,Amul,1 L pouch,Dairy & Bakery,litre,40,48,56,56,0,0401,Local Dairy,B26027,2026-09-27,
Curd Cup,SF-028,8901000221732,Amul,400 g,Dairy & Bakery,piece,30,22,30,30,5,0403,Local Dairy,B26028,2026-10-01,
Paneer,SF-029,8901000229651,Amul,200 g,Dairy & Bakery,packet,12,78,98,105,5,0406,Local Dairy,B26029,2026-10-03,
Butter,SF-030,8901000237570,Amul,100 g,Dairy & Bakery,packet,18,52,62,62,12,0405,Local Dairy,B26030,2027-01-22,
Bread Loaf,SF-031,8901000245489,Britannia,400 g,Dairy & Bakery,piece,22,32,45,45,5,1905,Local Dairy,B26031,2026-09-28,
Rusk Toast,SF-032,8901000253408,Britannia,300 g,Dairy & Bakery,packet,26,38,52,55,5,1905,Gupta Wholesale,B26032,2026-11-23,
Bathing Soap,SF-033,8901000261327,Lux,100 g,Personal Care,piece,85,32,45,48,18,3401,Verma Traders,B26033,2028-02-06,
Shampoo Bottle,SF-034,8901000269246,Clinic Plus,340 ml,Personal Care,piece,28,112,149,160,18,3305,Verma Traders,B26034,2027-12-18,
Toothpaste,SF-035,8901000277165,Colgate,150 g,Personal Care,piece,42,68,95,99,18,3306,Verma Traders,B26035,2027-10-29,
Toothbrush,SF-036,8901000285084,Colgate,Medium,Personal Care,piece,50,18,30,35,18,9603,Verma Traders,,,
Hair Oil,SF-037,8901000293003,Parachute,250 ml,Personal Care,piece,24,96,128,135,18,3305,Verma Traders,B26037,2027-11-18,
Face Wash,SF-038,8901000300922,Himalaya,100 ml,Personal Care,piece,15,118,155,165,18,3304,Verma Traders,B26038,2027-10-09,
Shaving Razor,SF-039,8901000308841,Gillette,Twin pack,Personal Care,pair,20,58,85,90,18,8212,Verma Traders,,,
Detergent Powder,SF-040,8901000316760,Surf Excel,1 kg,Household,packet,32,92,125,135,18,3402,Verma Traders,B26040,2027-10-29,
Dishwash Bar,SF-041,8901000324679,Vim,200 g,Household,piece,64,12,20,22,18,3401,Verma Traders,B26041,2027-10-29,
Floor Cleaner,SF-042,8901000332598,Lizol,975 ml,Household,litre,18,132,175,185,18,3402,Verma Traders,B26042,2028-02-06,
Phenyl,SF-043,8901000340517,,1 L,Household,litre,14,58,82,90,18,3808,Verma Traders,B26043,2027-10-29,
Garbage Bags,SF-044,8901000348436,,30 pcs,Household,packet,26,42,60,65,18,3923,Verma Traders,,,
Broom,SF-045,8901000356355,,Soft grass,Household,piece,9,78,110,120,12,9603,Verma Traders,,,
LED Bulb 9W,SF-046,8901000364274,Philips,9 W cool,General,piece,40,62,95,110,12,8539,Verma Traders,,,12
Extension Board,SF-047,8901000372193,,4 socket,General,piece,12,245,340,380,18,8536,Verma Traders,,,6
AA Batteries,SF-048,8901000380112,Duracell,Pack of 4,General,packet,35,32,50,55,18,8506,Verma Traders,B26048,2028-02-06,
Notebook 200 Pages,SF-049,8901000388031,Classmate,A4 ruled,General,piece,58,34,50,55,12,4820,New Era Stationers,,,
Ball Pen (Blue),SF-050,8901000395950,Cello,Pack of 12,General,dozen,30,60,96,120,12,9608,New Era Stationers,,,
